3d printing,スリーディープリント
system architecture,システムアーキテクチャ
system backup,システムバックアップ
system call trace,システムコールトレース
system call,システムコール
system integration,システム統合
system log,システムログ
system resource,システムリソース
system restore,システムリストア
system update,システム更新
system verification,システム検証
system,システム
tab,タブ
table partitioning,テーブルパーティショニング
table schema,テーブルスキーマ
table,テーブル
tablet,タブレット
tag,タグ
tagging,タギング
tap,タップ
task automation,タスク自動化
task manager,タスクマネージャー
task,タスク
taskbar,タスクバー
tcp/ip stack,tcp/ipスタック
tcp/ip,ティーシーピーアイピー
technical debt,テクニカルデット
technical debt,技術的負債
technical,テクニカル
technique,テクニック(技術)
technology,テクノロジー(技術)
teleconferencing,テレコンファレンス
telemetry data,テレメトリーデータ
template engine,テンプレートエンジン
template,テンプレート
terminal emulator,ターミナルエミュレータ
terminal,ターミナル
test automation,テスト自動化
test coverage,テストカバレッジ
test environment,テスト環境
test suite,テストスイート
test,テスト
text editor,テキストエディタ
text,テキスト
textbox,テキストボックス
thin client,シンクライアント
thread pool,スレッドプール
thread,スレッド
threat detection,脅威検出
throughput,スループット
time series data,時系列データ
time to live,タイムトゥリブ
time,タイム(時間)
timeout,タイムアウト
token authentication,トークン認証
token ring,トークンリング
token,トークン
tokenization,トークン化
tool,ツール
toolbar,ツールバー
toolbox,ツールボックス
toolkit,ツールキット
top,トップ
topology diagram,トポロジーダイアグラム
touch panel,タッチパネル
touch screen,タッチスクリーン
touch,タッチ
trace route,トレースルート
trace,トレース
track,トラック
tracking,トラッキング
traffic analysis,トラフィック分析
traffic shaping,トラフィックシェイピング
traffic,トラフィック
transaction log,トランザクションログ
transaction processing,トランザクション処理
transaction,トランザクション
transcoder,トランスコーダー
transient fault,一時的な障害
transmission control protocol,トランスミッションコントロールプロトコル
transmission,トランスミッション
transport layer security,トランスポート層セキュリティ
tree data structure,木構造データ
trim,トリム
trimming,トリミング
trojan horse,トロイの木馬
trouble,トラブル
tutorial,チュートリアル
two-factor authentication,二要素認証
uat environment,ユーエーティー環境
uat,ユーエーティー
ubuntu,ウブントゥ
uml diagram,uml図
unified modeling language,統一モデリング言語
uninstall,アンインストール
unit of work,ユニットオブワーク
unit test,ユニットテスト
universal serial bus,ユニバーサルシリアルバス
unstructured data,非構造化データ
up,アップ
update,アップデート
update,更新
upgrade,アップグレード
upload speed,アップロード速度
upload,アップロード
uptime,稼働時間
uri,ユーアールアイ
url,ユーアールエル
usage statistics,使用統計
usb,ユーエスビー
user acceptance testing,ユーザー受け入れテスト
user access control,ユーザーアクセス制御
user agent,ユーザーエージェント
user authentication,ユーザー認証
user control,ユーザーコントロール
user experience,ユーザーエクスペリエンス
user interface design,ユーザーインターフェースデザイン
user interface,ユーザーインターフェース
user permissions,ユーザー権限
user profile,ユーザープロファイル
user provisioning,ユーザー提供
user session,ユーザーセッション
user,ユーザー
username,ユーザーネーム
utility computing,ユーティリティコンピューティング
utility program,ユーティリティプログラム
utility,ユーティリティ
uuid,ユーウーアイディー
validation rule,バリデーションルール
validation,バリデーション
value,値
variable,変数
vector,ベクター
vendor,ベンダー(売手)
version control system,バージョン管理システム
version control,バージョン管理
version history,バージョン履歴
version,バージョン
versioning,バージョニング
video,ビデオ
view,ビュー
virtual assistant,バーチャルアシスタント
virtual desktop,仮想デスクトップ
virtual machine,仮想マシン
virtual memory,仮想メモリ
virtual network,仮想ネットワーク
virtual private cloud,仮想プライベートクラウド
virtual private network,仮想プライベートネットワーク
virtual reality,バーチャルリアリティ
virtual reality,仮想現実
virtual,バーチャル
virtual,仮想
virtualization platform,仮想化プラットフォーム
virtualization,仮想化
virus definition,ウイルス定義
virus scan,ウイルススキャン
virus,ウイルス
vmware,ブイエムウェア
voice over ip,ボイスオーバーアイピー
voice recognition,音声認識
volume,ボリューム
vpn client,vpnクライアント
vpn,ブイピーエヌ
vr headset,ブイアールヘッドセット
vulnerability assessment,脆弱性評価
vulnerability management,脆弱性管理
wan,ワン
web analytics,ウェブ分析
web application firewall,ウェブアプリケーションファイアウォール
web application,ウェブアプリケーション
web browser,ウェブブラウザー
web content management,ウェブコンテンツ管理
web crawler,ウェブクローラー
web development framework,ウェブ開発フレームワーク
web development,ウェブ開発
web hosting provider,ウェブホスティングプロバイダー
web hosting service,ウェブホスティングサービス
web hosting,ウェブホスティング
web scraping,ウェブスクレイピング
web server logs,ウェブサーバーログ
web server,ウェブサーバー
web standards,ウェブ標準
web traffic,ウェブトラフィック
web,ウェブ
webcam,ウェブカメラ
webinar,ウェビナー
website design,ウェブサイトデザイン
website,ウェブサイト
whilelist,ホワイトリスト
wi-fi hotspot,ワイファイホットスポット
wi-fi,ワイファイ
widget toolkit,ウィジェットツールキット
widget,ウィジェット
wildcard certificate,ワイルドカード証明書
window,ウィンドウ
wireless access point,ワイヤレスアクセスポイント
wireless adapter,ワイヤレスアダプター
wireless communication,ワイヤレス通信
wireless network,ワイヤレスネットワーク
wireless,ワイヤレス
word,ワード
work,ワーク(作業)
workflow automation,ワークフロー自動化
workflow management,ワークフロー管理
workflow,ワークフロー
www,ダブリューダブリューダブリュー
xml parser,エックスエムエルパーサー
xml,エックスエムエル
yaml,ヤムル
zero-day exploit,ゼロデイエクスプロイト
zero-day vulnerability,ゼロデイ脆弱性
zipped file,ジップファイル
zone file,ゾーンファイル
zone transfer,ゾーン転送
zoom,ズーム
